explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
adaptive RWMH,prostate,1,-0.024024516226382974,31.39127205104172,6.856036250000001,0.0,131068,0,65.66644148565052,0.7581583206041648,0.00021362956633198035,0.0,15,0.000583230791278963
adaptive MALA,prostate,1,-0.0031945532144113,0.011925492909250828,106.701759874,0.0,131068,65534,NaN,0.8690666102959309,3.0517578125e-5,0.1,15,0.0
NUTS,prostate,1,0.30417909153066347,3.6512661081208915,1630.988060751,0.0,131068,1748301,65.84389773142331,0.7683341769531807,0.868325986469351,0.003837856566446017,15,0.8972457007508332
DRHMC,prostate,1,0.0,0.0,1303.938872208,0.0,262136,1310680,NaN,0.876099904993449,0.0,0.1,15,NaN
HitAndRunSlicer,prostate,1,0.9297626521983436,0.11120793920678737,6.549100329,0.0,3694230,1908668,65.93009933259393,2.3564334274925676,1.0,10.0,15,0.9333334922793385
adaptive RWMH,prostate,2,-0.31052717107356625,9.625673592325006,5.1520245419999995,0.0,131068,0,65.84014207174957,0.7547030886267623,9.155552842799158e-5,0.0,15,0.00017424951726637152
adaptive MALA,prostate,2,-0.011335763897841038,0.00844048849658305,120.118093502,0.0,131068,65534,NaN,0.8784529827191254,3.0517578125e-5,0.1,15,0.0
NUTS,prostate,2,-0.08797284349487874,2.6650628683599478,1606.756426041,0.0,131068,1661934,65.91902782063319,0.7942196693914353,0.6467318086521591,0.011569171490595704,15,1.328439075601443
DRHMC,prostate,2,0.0,0.0,1295.381870959,0.0,262136,1310680,NaN,0.876099904993449,0.0,0.1,15,NaN
HitAndRunSlicer,prostate,2,0.7513335435881172,0.044753060915160466,8.075719333,0.0,3826195,1961869,66.24249692414091,2.308300450543883,1.0,10.0,15,0.9476376707382672
adaptive RWMH,prostate,3,0.28279607002928214,16.431290105232648,6.612449958,0.0,131068,0,67.78781975230905,0.754693829480204,9.155552842799158e-5,0.0,15,6.17614636437537e-5
adaptive MALA,prostate,3,0.0014946056867985204,0.011244737299466843,122.50998658399999,0.0,131068,65534,NaN,0.8769897376905222,3.0517578125e-5,0.1,15,0.0
NUTS,prostate,3,-0.21252969917575257,7.7938976746787345,1473.208119541,0.0,131068,1517020,65.97269873523231,2.9454658594250183,0.5927496904986932,0.01575840524858474,15,1.3852679349072115
DRHMC,prostate,3,0.0,0.0,1235.891235082,0.0,262136,1310680,NaN,0.876099904993449,0.0,0.1,15,NaN
HitAndRunSlicer,prostate,3,0.8870625839756853,0.06797833056812767,6.0139485,0.0,3769083,1949846,66.55848064104656,2.338777595537353,1.0,10.0,15,0.9333602554963584
adaptive RWMH,prostate,4,-0.42107887843534,23.66792060528123,3.40830575,0.0,131068,0,NaN,0.754693829460248,0.0,0.0,15,0.0
adaptive MALA,prostate,4,-0.003121357264634761,0.010468497046495464,111.049323585,0.0,131068,65534,NaN,0.8736332480501006,3.0517578125e-5,0.1,15,0.0
NUTS,prostate,4,-0.05976621961674402,4.340003872982444,1456.088123462,0.0,131068,1648799,65.83193232679798,0.7906687761655546,0.7658330733810015,0.006602755877426019,15,1.1705523042394026
DRHMC,prostate,4,0.0,0.0,1211.542815752,0.0,262136,1310680,NaN,0.876099904993449,0.0,0.1,15,NaN
HitAndRunSlicer,prostate,4,1.1783477657684476,0.5002753033057318,6.296728582,0.0,3870674,1988018,65.92290067588065,1.9621044046613463,1.0,10.0,15,0.8922896715497075
adaptive RWMH,prostate,5,-0.02767423676084103,17.160021115542822,5.309671958999999,0.0,131068,0,65.64130221958155,0.754693829460248,0.00012207403790398877,0.0,15,0.0005134891516210291
adaptive MALA,prostate,5,-0.007505191126969612,0.010560337990388594,115.269567126,0.0,131068,65534,NaN,0.8734500458657918,3.0517578125e-5,0.1,15,0.0
NUTS,prostate,5,0.6089601206246888,21.86797852131047,1618.840959623,0.0,131068,1754208,65.7679802170093,1.2782724181956309,0.7602592771740665,0.009512518028323955,15,1.106292868659382
DRHMC,prostate,5,0.0,0.0,1259.374735999,0.0,262136,1310680,NaN,0.876099904993449,0.0,0.1,15,NaN
HitAndRunSlicer,prostate,5,0.5339486378887306,0.09257840762732147,6.233750086000001,0.0,3893675,2009975,66.05538573815491,2.135105661986691,1.0,10.0,15,0.937756915769129
adaptive RWMH,prostate,6,-0.028653669585963413,7.102625562085402,3.416742751,0.0,131068,0,66.04057213929784,0.754693829460248,3.051850947599719e-5,0.0,15,3.518024916534802e-5
adaptive MALA,prostate,6,0.01646621216620996,0.010698088512544451,110.628822458,0.0,131068,65534,NaN,0.8354708278842,3.0517578125e-5,0.1,15,0.0
NUTS,prostate,6,0.004081992385755775,7.052106271320341,1677.2188018729998,0.0,131068,1793913,65.97043863668006,0.8060147152587936,0.8856433844053231,0.0033443858069121114,15,0.9257265385477752
DRHMC,prostate,6,0.0,0.0,1237.2481402479998,0.0,262136,1310680,NaN,0.876099904993449,0.0,0.1,15,NaN
HitAndRunSlicer,prostate,6,0.6762861728855539,0.05734469867652822,6.313160584,0.0,3793457,1956857,66.2029503798185,1.1467611292374191,1.0,10.0,15,0.9449584853027911
adaptive RWMH,prostate,7,0.06837754354472335,10.240580529244227,3.383939083,0.0,131068,0,66.05063274823625,0.754693829460248,6.103701895199438e-5,0.0,15,0.00010958438633764357
adaptive MALA,prostate,7,-0.009180517714383659,0.010573497094024624,114.850357584,0.0,131068,65534,NaN,0.8917476366463457,3.0517578125e-5,0.1,15,0.0
NUTS,prostate,7,-0.39129696012790766,15.850942258908173,1593.126659749,0.0,131068,1723830,65.85064069341232,0.7908770000959796,0.7340104848260405,0.009624645761891173,15,1.2136892438365228
DRHMC,prostate,7,0.0,0.0,1265.5687427100002,0.0,262136,1310680,NaN,0.876099904993449,0.0,0.1,15,NaN
HitAndRunSlicer,prostate,7,0.6995571439948289,0.07181113090884138,6.673813878,0.0,3916695,1985739,66.26357105361093,2.0236257040039716,1.0,10.0,15,0.9341140100961302
adaptive RWMH,prostate,8,0.08905306030719579,9.217430247662659,4.21441075,0.0,131068,0,NaN,0.7852078004907749,0.0,0.0,15,0.0
