explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
AutoStep MALA,funnel100,1,0.8589697307880338,6.027323480856294,31.242864420000004,0.0,321800,643600,86.37479836923073,229.84154540183093,0.7726179300090982,0.375,15,0.00035613180200481064
adaptive MALA,funnel100,1,-0.003340457698498308,0.008806441854426921,9.634960623,0.0,131068,65534,70.94525368757625,9.342904231030348,0.99822998046875,0.1,15,0.6986751744201389
NUTS,funnel100,1,-0.04543142564566934,0.42139945291360775,80.765687539,0.0,131068,1199840,323.6606703194475,1578.344377379729,0.7037690469449346,0.22212724675544426,15,7.646378206858526
DRHMC,funnel100,1,0.038334650105158886,1.3839261844583046,53.438709499,0.0,3644,341335,97.71174995227793,294.24316589708206,1.0,0.1,15,3.9224151937767924
AutoStep MALA,funnel100,2,-0.4613794856850394,8.858973136715624,37.803295332000005,0.0,316523,633046,78.50816631201265,164.18466182556867,0.7473810675167369,0.375,15,-0.00011997750323829636
adaptive MALA,funnel100,2,0.0026830915026614197,0.010882875110051768,10.347147206999999,0.0,131068,65534,68.95232480635171,93.36636542469743,0.99639892578125,0.1,15,0.9760863011226721
NUTS,funnel100,2,-0.02494718894090342,0.3884661147686169,95.87131712600001,0.0,131068,1200049,390.825316053197,1611.9461735913292,0.8068746733682155,0.2615066196521777,15,8.202143111218318
DRHMC,funnel100,2,-0.02576809583436367,0.6866029416997067,59.656328749,0.0,3424,340510,93.49936398239596,260.9246984030859,1.0,0.1,15,3.96107267208223
AutoStep MALA,funnel100,3,-0.8055020980086299,7.529610519318673,34.698187916,0.0,319329,638658,81.89141486877892,182.7620628289776,0.7391184491561853,0.375,15,-0.0012067339714580201
adaptive MALA,funnel100,3,0.013781709093359202,0.00778903864684872,9.384547956999999,0.0,131068,65534,67.88013885012809,72.229040527633,0.997406005859375,0.1,15,0.9097997875800228
